"H (A_per_meter)" 	"B (tesla)"
0.00	0.01
100.00	0.01
200.00	0.02
300.00	0.03
400.00	0.04
500.00	0.05
600.00	0.07
700.00	0.08
800.00	0.09
900.00	0.10
1000.00	0.11
1100.00	0.12
1200.00	0.13
1300.00	0.14
1400.00	0.15
1500.00	0.16
1600.00	0.17
1700.00	0.18
1800.00	0.19
1900.00	0.20
2000.00	0.21
2100.00	0.21
2200.00	0.22
2300.00	0.23
2400.00	0.24
2500.00	0.25
2600.00	0.26
2700.00	0.26
2800.00	0.27
2900.00	0.28
3000.00	0.29
3100.00	0.29
3200.00	0.30
3300.00	0.31
3400.00	0.31
3500.00	0.32
3600.00	0.33
3700.00	0.33
3800.00	0.34
3900.00	0.35
4000.00	0.35
4100.00	0.36
4200.00	0.36
4300.00	0.37
4400.00	0.38
4500.00	0.38
4600.00	0.39
4700.00	0.39
4800.00	0.40
4900.00	0.40
5000.00	0.41
5100.00	0.41
5200.00	0.42
5300.00	0.42
5400.00	0.43
5500.00	0.43
5600.00	0.44
5700.00	0.44
5800.00	0.45
5900.00	0.45
6000.00	0.46
6100.00	0.46
6200.00	0.46
6300.00	0.47
6400.00	0.47
6500.00	0.48
6600.00	0.48
6700.00	0.48
6800.00	0.49
6900.00	0.49
7000.00	0.50
7100.00	0.50
7200.00	0.50
7300.00	0.51
7400.00	0.51
7500.00	0.51
7600.00	0.52
7700.00	0.52
7800.00	0.52
7900.00	0.53
8000.00	0.53
8100.00	0.53
8200.00	0.54
8300.00	0.54
8400.00	0.54
8500.00	0.55
8600.00	0.55
8700.00	0.55
8800.00	0.56
8900.00	0.56
9000.00	0.56
9100.00	0.56
9200.00	0.57
9300.00	0.57
9400.00	0.57
9500.00	0.58
9600.00	0.58
9700.00	0.58
9800.00	0.58
9900.00	0.59
10000.00	0.59
10100.00	0.59
10200.00	0.59
10300.00	0.60
10400.00	0.60
10500.00	0.60
10600.00	0.60
10700.00	0.61
10800.00	0.61
10900.00	0.61
11000.00	0.61
11100.00	0.62
11200.00	0.62
11300.00	0.62
11400.00	0.62
11500.00	0.62
11600.00	0.63
11700.00	0.63
11800.00	0.63
11900.00	0.63
12000.00	0.64
12100.00	0.64
12200.00	0.64
12300.00	0.64
12400.00	0.64
12500.00	0.65
12600.00	0.65
12700.00	0.65
12800.00	0.65
12900.00	0.65
13000.00	0.65
13100.00	0.66
13200.00	0.66
13300.00	0.66
13400.00	0.66
13500.00	0.66
13600.00	0.67
13700.00	0.67
13800.00	0.67
13900.00	0.67
14000.00	0.67
14100.00	0.67
14200.00	0.68
14300.00	0.68
14400.00	0.68
14500.00	0.68
14600.00	0.68
14700.00	0.68
14800.00	0.69
14900.00	0.69
15000.00	0.69
15100.00	0.69
15200.00	0.69
15300.00	0.69
15400.00	0.70
15500.00	0.70
15600.00	0.70
15700.00	0.70
15800.00	0.70
15900.00	0.70
16000.00	0.70
16100.00	0.71
16200.00	0.71
16300.00	0.71
16400.00	0.71
16500.00	0.71
16600.00	0.71
16700.00	0.71
16800.00	0.71
16900.00	0.72
17000.00	0.72
17100.00	0.72
17200.00	0.72
17300.00	0.72
17400.00	0.72
17500.00	0.72
17600.00	0.72
17700.00	0.73
17800.00	0.73
17900.00	0.73
18000.00	0.73
18100.00	0.73
18200.00	0.73
18300.00	0.73
18400.00	0.73
18500.00	0.74
18600.00	0.74
18700.00	0.74
18800.00	0.74
18900.00	0.74
19000.00	0.74
19100.00	0.74
19200.00	0.74
19300.00	0.74
19400.00	0.75
19500.00	0.75
19600.00	0.75
19700.00	0.75
19800.00	0.75
19900.00	0.75
20000.00	0.75
20100.00	0.75
20200.00	0.75
20300.00	0.76
20400.00	0.76
20500.00	0.76
20600.00	0.76
20700.00	0.76
20800.00	0.76
20900.00	0.76
21000.00	0.76
21100.00	0.76
21200.00	0.76
21300.00	0.76
21400.00	0.77
21500.00	0.77
21600.00	0.77
21700.00	0.77
21800.00	0.77
21900.00	0.77
22000.00	0.77
22100.00	0.77
